iso3,country_name, population ,as_of,source
PSS,," 2,722,467 ",2024,World Bank
PST,," 1,128,377,826 ",2024,World Bank
PYF,French Polynesia," 281,807 ",2024,World Bank
QAT,Qatar," 2,857,822 ",2024,World Bank
ROU,Romania," 19,051,804 ",2024,World Bank
RUS,Russia," 143,533,851 ",2024,World Bank
RWA,Rwanda," 14,256,567 ",2024,World Bank
SAS,," 1,677,384,532 ",2024,World Bank
SAU,Saudi Arabia," 35,300,280 ",2024,World Bank
SDN,Sudan," 50,448,963 ",2024,World Bank
SEN,Senegal," 18,501,984 ",2024,World Bank
SGP,Singapore," 6,036,860 ",2024,World Bank
SLB,Solomon Islands," 819,198 ",2024,World Bank
SLE,Sierra Leone," 8,642,022 ",2024,World Bank
SLV,El Salvador," 6,338,193 ",2024,World Bank
SMR,San Marino," 33,977 ",2024,World Bank
SOM,Somalia," 19,009,151 ",2024,World Bank
SRB,Serbia," 6,586,476 ",2024,World Bank
SSA,," 1,158,863,843 ",2024,World Bank
SSD,South Sudan," 11,943,408 ",2024,World Bank
SSF,," 1,291,044,964 ",2024,World Bank
SST,," 20,193,405 ",2024,World Bank
STP,Sao Tome and Principe," 235,536 ",2024,World Bank
SUR,Suriname," 634,431 ",2024,World Bank
SVK,Slovak Republic," 5,422,069 ",2024,World Bank
SVN,Slovenia," 2,127,400 ",2024,World Bank
SWE,Sweden," 10,569,709 ",2024,World Bank
SWZ,Eswatini," 1,242,822 ",2024,World Bank
SXM,Sint Maarten," 43,350 ",2024,World Bank
SYC,Seychelles," 121,354 ",2024,World Bank
SYR,Syria," 24,672,760 ",2024,World Bank
TCA,Turks and Caicos," 46,535 ",2024,World Bank
TCD,Chad," 20,299,123 ",2024,World Bank
TEA,," 2,114,653,077 ",2024,World Bank
TEC,," 459,734,030 ",2024,World Bank
TGO,Togo," 9,515,236 ",2024,World Bank
THA,Thailand," 71,668,011 ",2024,World Bank
TJK,Tajikistan," 10,590,927 ",2024,World Bank
TKM,Turkmenistan," 7,494,498 ",2024,World Bank
TLA,," 647,003,746 ",2024,World Bank
TLS,Timor-Leste," 1,400,638 ",2024,World Bank
TMN,," 736,401,764 ",2024,World Bank
TON,Tonga," 104,175 ",2024,World Bank
TSA,," 1,677,384,532 ",2024,World Bank
TSS,," 1,291,044,964 ",2024,World Bank
TTO,Trinidad and Tobago," 1,368,333 ",2024,World Bank
TUN,Tunisia," 12,277,109 ",2024,World Bank
TUR,Turkey," 85,518,661 ",2024,World Bank
TUV,Tuvalu," 9,646 ",2024,World Bank
TZA,Tanzania," 68,560,157 ",2024,World Bank
UGA,Uganda," 50,015,092 ",2024,World Bank
UKR,Ukraine," 37,860,221 ",2024,World Bank
UMC,," 2,817,912,698 ",2024,World Bank
URY,Uruguay," 3,386,588 ",2024,World Bank
USA,United States," 340,110,988 ",2024,World Bank
UZB,Uzbekistan," 36,361,859 ",2024,World Bank
VCT,Saint Vincent and the Grenadines," 100,616 ",2024,World Bank
VEN,Venezuela," 28,405,543 ",2024,World Bank
VGB,British Virgin Islands," 39,471 ",2024,World Bank
VIR,United States Virgin Islands," 104,377 ",2024,World Bank
VNM,Vietnam," 100,987,686 ",2024,World Bank
VUT,Vanuatu," 327,777 ",2024,World Bank
WLD,," 8,141,808,945 ",2024,World Bank
WSM,Samoa," 218,019 ",2024,World Bank
XKX,," 1,594,353 ",2024,World Bank
YEM,Yemen," 40,583,164 ",2024,World Bank
ZAF,South Africa," 64,007,187 ",2024,World Bank
ZMB,Zambia," 21,314,956 ",2024,World Bank
ZWE,Zimbabwe," 16,634,373 ",2024,World Bank
