iso3,ym,value,coverage,n_cells,dataset_type
WSM,2016-01,-0.7092,cells,5,consolidated_dataset
YEM,2016-01,1.2712,cells,611,consolidated_dataset
ZAF,2016-01,-1.0772,cells,1810,consolidated_dataset
ZMB,2016-01,-0.1493,cells,1006,consolidated_dataset
ZWE,2016-01,-1.7927,cells,530,consolidated_dataset
ABW,2016-02,-1.4021,cells,1,consolidated_dataset
AFG,2016-02,-1.44,cells,996,consolidated_dataset
AGO,2016-02,0.8803,cells,1643,consolidated_dataset
AIA,2016-02,-0.7359,nearest_cell,0,consolidated_dataset
ALA,2016-02,-0.1953,cells,2,consolidated_dataset
ALB,2016-02,0.024,cells,50,consolidated_dataset
AND,2016-02,-0.3534,cells,1,consolidated_dataset
ARE,2016-02,0.2626,cells,98,consolidated_dataset
ARG,2016-02,0.2882,cells,4428,consolidated_dataset
ARM,2016-02,1.2926,cells,46,consolidated_dataset
ASM,2016-02,-2.0476,nearest_cell,0,consolidated_dataset
ATA,2016-02,0.1753,cells,95986,consolidated_dataset
ATF,2016-02,-0.7746,cells,14,consolidated_dataset
ATG,2016-02,-0.45,cells,1,consolidated_dataset
AUS,2016-02,-0.3516,cells,11141,consolidated_dataset
AUT,2016-02,0.3298,cells,163,consolidated_dataset
AZE,2016-02,1.0299,cells,148,consolidated_dataset
BDI,2016-02,0.408,cells,35,consolidated_dataset
BEL,2016-02,0.6251,cells,62,consolidated_dataset
BEN,2016-02,-1.5256,cells,153,consolidated_dataset
BFA,2016-02,-0.6563,cells,363,consolidated_dataset
BGD,2016-02,0.799,cells,194,consolidated_dataset
BGR,2016-02,0.1673,cells,201,consolidated_dataset
BHR,2016-02,0.0444,cells,1,consolidated_dataset
BHS,2016-02,1.6617,cells,11,consolidated_dataset
BIH,2016-02,-0.3337,cells,90,consolidated_dataset
BLM,2016-02,-0.7359,nearest_cell,0,consolidated_dataset
BLR,2016-02,0.8321,cells,451,consolidated_dataset
BLZ,2016-02,0.4411,cells,28,consolidated_dataset
BMU,2016-02,1.3016,nearest_cell,0,consolidated_dataset
BOL,2016-02,-0.4745,cells,1469,consolidated_dataset
BRA,2016-02,-0.559,cells,11244,consolidated_dataset
BRB,2016-02,-0.7652,nearest_cell,0,consolidated_dataset
BRN,2016-02,-1.2007,cells,8,consolidated_dataset
BTN,2016-02,0.4789,cells,58,consolidated_dataset
BWA,2016-02,-1.4004,cells,820,consolidated_dataset
CAF,2016-02,-1.0288,cells,807,consolidated_dataset
CAN,2016-02,0.0428,cells,26947,consolidated_dataset
CHE,2016-02,0.5742,cells,80,consolidated_dataset
CHL,2016-02,-1.1318,cells,1239,consolidated_dataset
CHN,2016-02,0.0512,cells,15180,consolidated_dataset
CIV,2016-02,-1.5823,cells,421,consolidated_dataset
CMR,2016-02,-1.2161,cells,607,consolidated_dataset
COD,2016-02,-0.7444,cells,3021,consolidated_dataset
COG,2016-02,-1.3532,cells,450,consolidated_dataset
COK,2016-02,0.3317,nearest_cell,0,consolidated_dataset
COL,2016-02,-0.907,cells,1485,consolidated_dataset
COM,2016-02,2.2531,cells,3,consolidated_dataset
CPV,2016-02,-1.363,cells,3,consolidated_dataset
CRI,2016-02,-0.7654,cells,69,consolidated_dataset
CUB,2016-02,1.1258,cells,158,consolidated_dataset
CUW,2016-02,-1.5147,nearest_cell,0,consolidated_dataset
CYM,2016-02,0.6084,nearest_cell,0,consolidated_dataset
CYP,2016-02,-1.2692,cells,16,consolidated_dataset
CZE,2016-02,0.0839,cells,158,consolidated_dataset
DEU,2016-02,0.2985,cells,733,consolidated_dataset
DJI,2016-02,-0.3613,cells,28,consolidated_dataset
DMA,2016-02,-1.3833,nearest_cell,0,consolidated_dataset
DNK,2016-02,0.7263,cells,103,consolidated_dataset
DOM,2016-02,-0.6434,cells,69,consolidated_dataset
DZA,2016-02,-1.1872,cells,3422,consolidated_dataset
ECU,2016-02,0.03,cells,334,consolidated_dataset
EGY,2016-02,-0.5462,cells,1487,consolidated_dataset
ERI,2016-02,0.7076,cells,170,consolidated_dataset
ESH,2016-02,-0.9749,cells,129,consolidated_dataset
ESP,2016-02,0.0385,cells,858,consolidated_dataset
EST,2016-02,1.0461,cells,114,consolidated_dataset
ETH,2016-02,-0.2521,cells,1470,consolidated_dataset
FIN,2016-02,1.5489,cells,986,consolidated_dataset
FJI,2016-02,-1.1229,cells,22,consolidated_dataset
FLK,2016-02,-1.0741,cells,23,consolidated_dataset
FRA,2016-02,0.2078,cells,1151,consolidated_dataset
FRO,2016-02,1.1557,cells,5,consolidated_dataset
FSM,2016-02,-1.2072,nearest_cell,0,consolidated_dataset
GAB,2016-02,-0.9133,cells,335,consolidated_dataset
GBR,2016-02,1.2702,cells,526,consolidated_dataset
GEO,2016-02,0.7889,cells,123,consolidated_dataset
GGY,2016-02,1.1604,nearest_cell,0,consolidated_dataset
GHA,2016-02,-2.0011,cells,310,consolidated_dataset
GIN,2016-02,0.0857,cells,322,consolidated_dataset
GMB,2016-02,0.0092,cells,18,consolidated_dataset
GNB,2016-02,0.9666,cells,46,consolidated_dataset
GNQ,2016-02,-1.2634,cells,31,consolidated_dataset
GRC,2016-02,-1.2649,cells,219,consolidated_dataset
GRD,2016-02,-0.7406,nearest_cell,0,consolidated_dataset
GRL,2016-02,-0.476,cells,10625,consolidated_dataset
GTM,2016-02,0.1536,cells,150,consolidated_dataset
GUM,2016-02,-0.8836,nearest_cell,0,consolidated_dataset
GUY,2016-02,-0.8913,cells,274,consolidated_dataset
HKG,2016-02,2.6108,cells,2,consolidated_dataset
HMD,2016-02,-1.4624,nearest_cell,0,consolidated_dataset
HND,2016-02,-0.0045,cells,152,consolidated_dataset
HRV,2016-02,0.5791,cells,101,consolidated_dataset
HTI,2016-02,0.531,cells,38,consolidated_dataset
HUN,2016-02,0.9909,cells,178,consolidated_dataset
IDN,2016-02,0.2947,cells,2378,consolidated_dataset
IMN,2016-02,2.0493,cells,1,consolidated_dataset
IND,2016-02,-0.3793,cells,4434,consolidated_dataset
